#1.3
2429	29	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A58048407-summary	BRD-K21680192-summary	BRD-A26711594-summary	BRD-K13646352-summary	BRD-K78485176-summary	BRD-A65280694-summary	BRD-K67080878-summary	BRD-A24228527-summary	BRD-A64977602-summary	BRD-A19736161-summary	BRD-K77771411-summary	BRD-K52020312-summary	BRD-K35960502-summary	BRD-K85606544-summary	BRD-A01787639-summary	BRD-K81528515-summary	BRD-K18895904-summary	BRD-K91263825-summary	BRD-K05395900-summary	BRD-K76775527-summary	BRD-K28912512-summary	BRD-A03623303-summary	BRD-K07237224-summary	BRD-K02113016-summary	BRD-K76810206-summary	BRD-K15502390-summary	BRD-K44353683-summary	BRD-K74141488-summary	BRD-A53576514-summary
BRD-K15567136	CP	papaverine	phosphodiesterase inhibitor	PDE10A, PDE4B, PDE5A		5.38, 3.46	79.27	0.84, 0.20	79.27	90.59	97.78	84.54	98.63	91.00	18.97	-55.19	31.24	54.29	84.16	87.53	74.06	47.77	99.22	99.40	87.97	73.85	88.29	48.75	82.39	59.01	24.58	34.63	0.56	97.71	65.03	85.96	41.76
BRD-M72442222	CP	vicriviroc	CC chemokine receptor antagonist, CC chemokine receptor 5 (CCR5) antagonist	CCR5		7.69, 4.23	78.89	0.97, 0.15	90.67	95.70	93.65	78.89	90.65	97.15	94.55	24.30	33.74	99.65	93.45	99.79	59.22	72.66	90.69	69.00	87.20	58.91	13.84	94.08	68.20	46.46	67.63	0.00	15.91	54.37	79.23	78.82	98.78
BRD-K70358946	CP	aripiprazole	serotonin receptor agonist, serotonin receptor antagonist, dopamine receptor agonist, dopamine receptor partial agonist, serotonin receptor partial agonist	DRD2, HTR1A, HTR2A, HRH1, HTR1B, HTR1D, HTR2C, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD3, DRD4, DRD5, HTR1E, HTR3A, HTR6, HTR7		10.22, 5.78	78.73	0.97, 0.19	98.12	70.96	68.79	88.30	54.85	47.03	8.86	87.14	59.60	91.65	97.71	93.58	88.44	78.73	4.49	99.93	12.32	94.19	98.80	19.23	32.79	1.02	91.33	-0.03	82.54	96.30	97.68	23.47	27.75
BRD-K96134740	CP	kitasamycin	protein synthesis inhibitor			12.89, 8.00	78.41	1.08, 0.34	80.20	25.90	16.68	10.54	36.61	47.36	98.05	96.34	78.41	98.52	98.00	75.28	7.08	6.20	85.38	33.00	67.63	19.06	99.18	46.50	44.03	96.17	97.64	92.36	97.53	40.04	99.49	97.85	95.26
BRD-K56429665	CP	calcipotriol	vitamin D receptor agonist	VDR	Vitamin D receptor agonist	8.98, 4.90	78.38	1.07, 0.26	97.63	65.12	98.06	70.81	76.89	31.45	41.68	27.94	41.65	43.80	92.28	97.76	79.29	83.47	79.50	94.99	95.29	88.51	97.15	76.47	71.90	82.93	13.00	85.82	78.38	98.68	64.11	62.51	11.46
BRD-K33106058	CP	cytarabine	antimetabolite, DNA polymerase inhibitor, DNA synthesis inhibitor, ribonucleotide reductase inhibitor	POLB, POLA1	Ribonucleotide reductase inhibitor	8.00, 6.22	78.37	1.28, 0.45	83.46	97.55	36.47	65.04	71.59	17.34	98.24	78.37	24.48	99.96	98.43	98.84	83.33	67.87	74.29	99.61	86.93	34.03	82.67	48.44	68.04	46.12	84.12	6.05	63.82	94.45	96.63	82.59	74.74
BRD-K37991163	CP	paroxetine	cyclophilin inhibitor, norepinephrine reputake inhibitor, selective serotonin reuptake inhibitor (SSRI), serotonin reuptake inhibitor, serotonin uptake inhibitor	SLC6A4, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HTR2A, SLC6A2		8.85, 3.46	78.31	1.65, 0.47	35.67	73.08	61.16	95.54	38.53	6.57	24.30	13.81	55.51	81.45	33.51	78.31	89.35	96.01	92.15	95.00	88.61	99.33	83.96	43.05	70.94	62.97	80.87	82.20	98.24	43.55	86.75	29.81	88.76
BRD-K48029790	CP	OBAA	phospholipase inhibitor	PLA2G1B		5.38, 1.54	78.28	1.43, 0.38	6.98	84.16	88.90	8.87	85.25	45.70	30.01	59.22	95.99	47.89	97.51	93.29	1.97	4.51	93.85	92.17	78.28	9.89	78.46	79.06	96.47	96.89	71.89	-11.64	-49.89	97.08	65.53	93.42	73.74
BRD-K95676198	CP	JAK3-inhibitor-V	JAK inhibitor	JAK3		5.77, 3.08	78.07	1.39, 0.28	50.94	95.08	97.06	41.23	78.17	93.26	59.77	78.07	47.28	49.39	91.11	95.01	7.54	72.02	64.04	30.68	85.66	27.71	92.45	86.43	94.80	66.10	44.68	-2.92	48.37	98.45	78.56	98.34	97.60
BRD-A29485665	CP	bicalutamide	androgen receptor antagonist	AR, CYP2C19		5.00, 3.08	77.60	0.67, 0.17	87.18	71.24	90.69	39.81	90.13	77.99	32.01	40.82	23.45	25.42	62.20	88.60	13.36	26.29	90.25	88.30	96.88	8.59	88.25	95.04	87.22	75.16	81.11	4.66	36.80	48.97	80.03	77.60	84.36
BRD-K91699951	CP	benzonatate	non-narcotic cough suppressant thought to act as a local anesthetic	SCN5A		5.77, 3.46	77.55	0.69, 0.10	99.93	94.46	68.93	66.50	98.99	73.42	69.31	-37.95	80.24	94.25	45.04	86.25	3.17	9.33	81.64	90.81	98.06	21.73	78.39	87.78	89.87	64.30	42.47	-4.63	48.46	89.06	89.50	77.55	70.39
BRD-K50464341	CP	berbamine	calmodulin antagonist	CALM1	Calmodulin antagonist	7.76, 4.49	77.33	1.76, 0.69	58.27	88.13	94.99	75.49	67.97	29.57	84.75	46.46	69.47	77.33	92.58	77.40	89.61	98.98	23.78	99.61	47.31	99.20	18.52	70.70	57.77	30.38	81.25	14.92	98.10	89.14	98.63	97.10	52.89
BRD-K17561142	CP	amiodarone	acetylcholine receptor ligand, adrenergic receptor antagonist, ATP-sensitive potassium channel inhibitor, HCN (hyperpolarization activated cyclic nucleotide gated) channel modulator, polarization inhibitor, potassium channel antagonist, Sodium Channel  Blockers, voltage-gated sodium channel blocker	KCNH2, ADRB1, CACNA1H, CACNA2D2, CHRM3, CYP2C8, KCNA7, SCN5A		6.15, 3.08	77.26	1.55, 0.49	81.66	45.69	82.13	77.78	49.28	45.65	67.11	84.13	90.60	36.25	41.05	46.51	85.52	95.50	45.28	99.44	52.86	94.29	79.86	77.26	85.46	29.25	23.91	-16.67	89.89	42.50	85.38	74.41	89.25
BRD-A68888262	CP	azelastine	histamine receptor antagonist, histamine release inhibitor, immunosuppressant	HRH1, CYP2C19		8.44, 6.67	77.09	1.81, 0.68	75.68	47.58	87.17	72.66	86.10	33.66	60.90	22.55	20.85	98.82	89.08	98.73	24.20	86.42	97.81	58.13	97.80	80.74	60.47	59.42	25.42	83.79	99.89	66.24	77.09	92.05	77.91	93.32	24.03
BRD-K63343048	CP	orlistat	cholesterol inhibitor, diacylglycerol lipase inhibitor, fatty acid synthase inhibitor, gastric triacylglycerol lipase inhibitor, Hypolipemic pancreatic, gastric and carboxylester lipase inhibitor, lipase inhibitor, pancreatic lipase inhibitor	PNLIP, DAGLA, FASN, LIPF, CNR1, DAGLB		11.11, 8.89	77.00	1.16, 0.32	13.71	87.42	77.00	61.02	60.43	52.20	84.02	-7.29	85.23	69.49	32.24	98.84	80.62	96.65	94.18	98.65	99.65	94.68	88.83	16.95	61.23	34.22	84.68	0.00	14.05	90.14	98.91	75.16	13.43
BRD-K34533029	CP	tyrphostin-AG-494	epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor	EGFR		8.08, 3.85	76.93	0.81, 0.25	49.31	69.18	35.36	88.64	83.31	53.94	90.35	44.70	92.65	55.42	89.36	59.26	66.46	89.59	-12.21	97.41	15.12	77.59	87.83	96.97	85.50	32.64	11.25	-39.61	70.27	76.93	94.19	89.57	78.80
BRD-K30563334	CP	rifabutin	DNA directed DNA polymerase inhibitor, DNA directed RNA polymerase inhibitor, protein synthesis inhibitor	CYP3A4, HSP90AA1, HSP90B1		7.11, 5.33	76.88	1.76, 0.69	94.90	83.66	44.17	80.41	45.92	66.12	31.34	7.26	35.92	99.89	94.68	98.94	41.86	75.33	8.60	87.24	76.88	85.93	90.85	58.22	70.54	85.00	88.60	16.76	13.05	94.19	99.86	81.86	22.44
BRD-K25394294	CP	oxaprozin	cyclooxygenase inhibitor	PTGS1, PTGS2		7.69, 3.85	76.73	0.91, 0.16	77.35	75.24	47.64	26.39	92.11	85.80	76.73	36.50	36.03	85.89	87.08	82.92	0.60	7.94	95.94	10.28	93.06	48.13	90.32	76.89	51.12	73.71	90.02	0.04	2.82	96.22	95.25	78.16	40.22
BRD-K39915878	CP	loxapine	dopamine receptor antagonist, serotonin receptor antagonist, dopamine receptor ligand	DRD2, DRD3, DRD4, DRD1, HRH1, HTR2A, HTR2C, HTR6, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, ADRB1, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD5, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR1E, HTR3A, HTR5A, HTR7, SLC6A2, SLC6A3, SLC6A4		5.38, 1.92	76.63	0.76, 0.16	79.57	12.36	1.13	67.90	10.56	91.58	69.65	81.53	75.10	90.80	96.55	82.75	2.82	18.15	95.88	2.64	79.44	34.59	84.29	83.01	30.27	5.00	86.27	67.59	79.87	76.63	41.53	83.85	92.33
BRD-A86044036	CP	flurbiprofen	cyclooxygenase inhibitor	PTGS1, PTGS2		6.53, 4.08	76.41	1.57, 0.39	98.91	90.69	93.59	51.19	92.28	24.95	87.01	46.32	47.39	98.80	69.60	98.03	2.11	5.53	96.86	78.46	82.77	7.81	83.95	73.02	58.55	59.03	89.62	-93.65	-18.51	96.30	68.48	80.59	76.41
BRD-A65076780	CP	dihydroergocristine	adrenergic receptor antagonist, prolactin inhibitor, adrenergic receptor partial agonist, dopamine receptor agonist, dopamine receptor partial agonist, dopamine receptor partial antagonist, serotonin receptor antagonist	HTR2A, ADRA1A, ADRB1, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR3A, HTR4, HTR5A, HTR6, HTR7		10.20, 4.90	76.36	1.34, 0.35	77.66	92.09	98.96	93.00	73.40	99.89	34.39	15.33	86.18	81.13	67.13	96.67	68.58	90.18	47.18	95.75	81.58	97.64	69.75	73.41	76.36	97.91	35.70	0.81	62.24	42.24	29.60	73.92	84.34
BRD-K29555132	CP	arachidonamide	cannabinoid receptor agonist	CNR1, CNR2		6.54, 3.46	76.16	1.13, 0.35	26.72	79.58	98.33	50.16	94.32	24.37	9.23	-13.94	88.74	31.61	79.69	89.94	4.57	51.28	97.05	97.38	76.16	48.32	64.41	95.12	77.09	98.73	40.76	61.14	-29.47	25.10	95.17	91.58	91.75
BRD-K61250553	CP	loperamide	opioid receptor agonist, atrial natriuretic peptide receptor antagonist	OPRM1, OPRD1, CACNA1A, CALM1, CYP2B6, CYP2C8, NPR2, OPRK1, POMC		11.54, 8.08	76.16	1.26, 0.56	50.93	47.37	97.50	75.42	91.81	30.15	36.17	41.59	57.65	79.32	61.10	90.34	76.16	94.74	85.58	83.70	86.87	99.12	33.63	62.16	95.35	83.41	66.95	-27.14	99.82	86.25	41.01	58.10	92.76
BRD-K51671335	CP	sulpiride	carbonic anhydrase inhibitor, dopamine receptor, dopamine receptor antagonist	DRD2, CA7, DRD3, CA1, CA12	Dopamine receptor antagonist	8.00, 5.33	76.12	2.11, 0.84	13.70	79.71	90.01	68.22	78.62	52.74	47.73	15.23	14.09	99.68	79.96	99.61	10.34	5.89	77.48	90.39	8.84	59.21	97.06	60.21	76.12	95.28	99.67	4.98	3.91	94.32	85.46	93.93	1.59
BRD-A64977602	CP	mirtazapine	adrenergic receptor antagonist, serotonin receptor antagonist	ADRA2A, HTR2A, HTR2C, ADRA2C, HTR3A, ADRA1A, ADRA1B, ADRA1D, ADRA2B, ADRB1, ADRB2, DRD1, DRD2, DRD3, DRD5, HRH1, HRH3, HTR2B, HTR7, OPRK1, SLC6A2, SLC6A3, SLC6A4		11.15, 6.92	76.07	0.50, 0.14	95.93	67.00	93.04	30.93	72.24	32.70	76.07	96.24	99.97	10.68	83.51	93.43	6.55	2.08	11.52	2.15	90.88	27.78	79.42	90.83	9.80	53.09	90.63	0.00	88.95	99.01	82.59	92.49	63.66
BRD-K76534306	CP	enrofloxacin	topoisomerase inhibitor		Bacterial DNA gyrase inhibitor	5.00, 1.92	76.01	1.13, 0.36	81.23	87.63	99.54	49.12	93.94	53.44	59.67	24.51	48.91	86.29	83.31	82.68	0.35	16.27	99.31	77.79	98.38	42.31	28.31	76.01	95.99	84.66	32.81	-99.93	7.07	38.69	74.49	86.40	84.27
BRD-K59332007	CP	linopirdine	acetylcholine release enhancer, acetylcholine release stimulant, neurotransmitter agonist, voltage-gated potassium channel blocker	KCNQ2, KCNQ3, KCNQ4, KCNQ5		5.38, 3.46	75.99	0.66, 0.20	79.22	63.87	97.88	60.66	48.03	73.25	95.44	83.47	67.66	71.91	66.35	95.30	53.24	70.99	91.12	47.84	75.99	66.97	98.31	74.63	94.17	81.01	60.09	-0.04	81.98	84.88	91.97	89.66	91.66
BRD-K69195780	CP	NAN-190	serotonin receptor agonist	HTR1A, ADRA1A, ADRA1B, ADRA1D, HTR1F		8.46, 3.46	75.89	1.16, 0.38	36.58	77.62	91.90	56.10	90.13	89.26	76.98	81.93	68.31	46.56	71.27	85.43	-2.82	64.03	48.72	2.80	87.21	89.08	48.92	99.54	85.28	85.97	75.89	0.85	73.04	99.58	22.35	75.46	84.01
BRD-K00603606	CP	ticlopidine	purinergic receptor antagonist, platelet aggregation inhibitor	P2RY12, CYP2B6, CYP2C19		6.15, 3.46	75.26	1.24, 0.18	23.27	97.18	79.39	15.34	98.20	65.91	59.91	75.37	75.26	87.69	74.23	93.62	7.30	15.75	94.93	21.82	51.63	11.31	15.37	78.39	80.29	82.51	96.34	39.24	9.28	77.62	54.67	89.09	79.57
BRD-A41450521	CP	tosufloxacin	topoisomerase inhibitor			9.78, 4.89	75.11	1.20, 0.28	98.57	82.09	99.89	40.85	88.52	7.31	24.80	36.98	97.30	93.66	82.60	98.20	63.28	68.88	99.30	24.36	93.54	60.19	99.26	75.11	29.51	25.33	93.20	35.78	74.68	69.14	83.12	77.04	39.21
BRD-K59962020	CP	CHEMBL-374350	NFkB pathway inhibitor			5.77, 3.08	74.67	1.70, 0.33	74.67	56.86	74.76	86.15	35.08	79.15	21.03	26.63	29.98	52.25	74.48	84.17	89.24	92.87	87.23	99.54	68.29	93.13	21.86	76.69	25.88	53.62	75.91	0.04	81.36	84.63	49.51	50.94	79.54
BRD-K72676686	CP	fluvoxamine	selective serotonin reuptake inhibitor (SSRI), serotonin reuptake inhibitor, serotonin uptake inhibitor	SLC6A4, CYP2C19		4.62, 1.92	74.61	0.50, 0.10	39.78	77.39	93.74	83.37	82.41	69.39	85.54	20.03	39.26	58.93	80.09	93.41	9.91	63.61	93.15	74.61	96.76	89.75	39.08	80.28	75.95	67.98	43.16	0.07	78.54	20.89	52.10	87.40	22.48
BRD-K91442916	CP	CAM-9-026	ADAM10 inhibitor			4.31, 3.02	74.60	1.27, 0.26	75.67	54.31	82.13	58.58	71.59	44.32	11.98	70.69	87.84	90.34	86.76	92.93	20.30	58.96	87.28	84.08	98.77	41.52	64.22	74.60	88.02	81.85	97.35	-47.31	7.44	23.55	80.26	84.42	66.56
BRD-K47936004	CP	piribedil	dopamine receptor agonist, adrenergic receptor antagonist	DRD2, DRD3, ADRA1A, ADRA2A, ADRA2C, DRD4, HTR1A, HTR2B		6.12, 3.27	74.53	0.93, 0.11	82.92	73.38	32.34	24.43	60.39	50.57	23.78	71.09	79.94	91.46	94.39	90.32	6.24	17.76	93.80	59.19	76.47	66.54	74.53	82.03	82.73	84.84	92.21	-83.65	20.18	80.38	80.03	78.88	48.46
BRD-A70649075	CP	sulconazole	sterol demethylase inhibitor, cell wall synthesis inhibitor			5.77, 2.31	74.42	0.64, 0.11	35.97	94.70	97.75	86.27	98.77	53.68	18.10	48.16	75.14	48.04	60.62	52.44	81.61	74.42	94.32	99.43	91.78	91.81	49.60	76.76	85.69	59.25	16.41	2.90	18.54	84.02	23.89	80.62	57.05
BRD-K17953061	CP	staurosporine	PKC inhibitor, AKT inhibitor, BMX inhibitor, CDK inhibitor, CHK inhibitor, G protein coupled receptor agonist, glycogen synthase kinase inhibitor, leucine rich repeat kinase inhibitor, ribosomal protein inhibitor, sodium/hydrogen exchanger inhibitor	CDK2, GSK3B, CAMK2B, CDK1, CDK5, CHEK1, CHRM1, CHRM2, CHRM4, CSK, DAPK1, GPR35, IKBKB, ITK, LCK, LRRK2, MAP2K4, MAP2K6, MAPKAPK2, PAK2, PDPK1, PHKG2, PIK3CG, PIM1, PKN1, PRKACB, PRKCI, PRKCQ, RPS6KA1, STK3, SYK, TNIK, ZAP70		7.73, 5.15	74.35	4.04, 1.01	74.35	98.45	74.08	89.20	93.38	29.95	76.27	-85.12	70.95	84.23	76.02	96.00	78.39	94.11	92.00	100.00	13.98	57.57	90.39	-62.41	98.14	64.64	71.08	-95.56	-30.29	-89.65	27.44	50.67	89.38
BRD-A84134924	CP	pancuronium	acetylcholine receptor antagonist	CHRM2, CHRM3, CHRNA1, CHRNA2		8.89, 5.33	74.22	1.82, 0.60	-5.18	80.91	18.40	3.45	38.25	85.51	99.65	-36.27	32.86	99.68	74.22	99.72	29.10	9.48	94.52	92.48	97.09	52.08	92.40	56.38	78.51	87.60	58.95	0.00	21.88	94.86	96.13	91.94	48.36
BRD-K57222227	CP	indometacin	cyclooxygenase inhibitor	PTGS1, PTGS2, PPARG, PTGDR2, GLO1, PLA2G2A, PPARA, PTGR2, SLC46A1		6.94, 2.86	73.98	1.18, 0.33	98.31	21.17	93.91	25.64	83.71	93.61	98.98	89.61	64.58	99.19	87.65	73.98	9.94	23.67	38.89	91.87	69.95	25.55	99.46	95.03	89.87	40.09	55.96	98.10	68.74	63.67	85.87	60.01	3.03
BRD-A16694057	CP	bisphenol-a	synthetic compound with hormone-like properties	AR, ESR2, ESRRG, PPARG		3.46, 0.38	73.97	0.36, 0.09	84.02	61.80	98.11	60.86	74.86	57.62	73.97	76.42	97.09	63.72	93.19	96.86	28.76	64.83	9.27	85.04	90.04	49.06	67.17	90.00	12.34	51.40	64.22	-0.78	68.52	91.13	78.62	92.16	82.05
BRD-K13800121	CP	parecoxib	cyclooxygenase inhibitor	LTF, PTGS2		8.44, 4.89	73.91	0.99, 0.30	94.34	93.72	88.67	26.39	51.77	17.99	98.45	98.67	96.62	54.56	94.86	98.24	0.53	40.11	73.91	60.45	89.91	52.24	27.19	40.29	96.51	36.70	98.73	-95.13	85.09	44.96	87.18	47.73	95.78
BRD-K15834839	CP	lobendazole	anthelmintic agent			3.85, 1.54	73.81	1.11, 0.27	94.66	79.46	18.91	48.95	94.18	74.84	37.22	77.98	76.74	73.81	82.72	49.74	2.78	24.38	-47.91	35.33	81.40	68.92	81.99	87.02	93.36	92.18	-3.74	-73.43	96.97	37.94	74.98	43.63	37.19
BRD-A78942461	CP	ICI-118551	adrenergic receptor antagonist			5.71, 4.08	73.76	1.08, 0.27	99.54	79.29	98.70	62.20	47.88	99.86	58.41	29.04	6.24	90.06	57.01	97.63	28.64	56.90	95.09	23.13	86.61	62.54	99.72	15.01	96.09	77.07	91.98	73.76	46.93	90.53	85.38	29.97	51.58
BRD-K60160658	CP	tiagabine	GABA uptake inhibitor, GAT inhibitor	SLC6A1, CYP2C19		9.33, 7.56	73.66	1.98, 0.76	97.79	84.72	6.08	67.75	31.00	98.15	86.08	76.94	81.91	99.79	99.93	99.93	-0.18	53.47	2.93	13.04	29.12	54.59	99.68	62.02	52.30	0.88	97.91	0.00	85.88	98.10	95.57	73.66	55.96
BRD-K69650333	CP	idarubicin	topoisomerase inhibitor, radical formation stimulant, RNA synthesis inhibitor	TOP2A	Topoisomerase inhibitor	9.78, 6.67	73.62	2.64, 0.69	4.32	99.08	97.40	24.23	98.59	84.28	73.62	-97.47	22.59	51.61	99.20	98.70	8.87	74.92	34.06	98.34	87.98	15.65	84.01	86.30	97.43	67.37	28.97	-67.00	-68.02	36.58	77.68	75.73	0.18
BRD-A29734509	CP	disopyramide	voltage-gated sodium channel blocker	SCN5A, CHRM1, CHRM2, CHRM3, KCND2, KCND3, KCNH2		4.62, 3.46	73.56	0.70, 0.20	90.17	80.10	9.99	16.20	90.35	41.48	85.71	91.78	80.54	86.89	82.67	84.61	-1.94	35.40	68.82	67.55	55.25	14.23	93.28	34.38	83.83	17.62	76.63	20.70	35.20	84.47	73.56	92.08	18.74
BRD-K18618618	CP	cimetidine	histamine receptor antagonist, histamine receptor inhibitor	HRH2, SLC29A4, SLC47A1, SLC47A2		5.77, 4.23	73.46	0.72, 0.26	86.65	74.71	3.31	22.56	80.91	84.48	99.40	90.03	76.28	17.48	83.22	57.97	-4.19	11.21	-62.30	16.64	-2.16	27.03	99.77	44.69	84.17	47.25	96.37	-99.19	73.46	92.54	54.23	99.75	86.11
BRD-K28936863	CP	ketotifen	histamine receptor ligand, leukotriene antagonist, phosphodiesterase inhibitor	HRH1, PDE4A, PDE4B, PDE4C, PDE4D, PDE7A, PDE7B, PDE8A, PDE8B, PGD		2.69, 0.38	73.18	0.52, 0.07	88.59	75.55	83.19	25.13	93.99	67.11	76.76	19.91	25.49	93.93	73.69	65.20	21.73	14.92	81.09	73.18	82.48	53.16	91.04	92.33	88.64	79.45	49.87	-42.89	52.83	64.68	61.34	96.30	71.39
BRD-A39390670	CP	rabeprazole	ATPase inhibitor, gastrin inhibitor	ATP4A, CYP2C19		8.44, 3.11	73.14	0.77, 0.14	94.99	47.66	95.09	48.39	35.30	92.57	0.92	84.68	72.19	55.96	89.78	87.99	46.13	24.23	81.12	1.97	99.01	73.14	86.44	43.62	95.88	72.26	53.00	-0.04	96.09	73.65	92.40	36.77	89.13
BRD-K97061094	CP	azacyclonol	ataractive drug used to diminish hallucinations	HRH1		5.77, 3.08	73.14	0.89, 0.14	96.32	49.45	42.86	25.45	78.64	6.08	93.21	56.44	79.70	93.35	78.70	73.97	6.65	73.14	23.16	7.50	11.07	9.09	83.00	92.91	90.15	51.08	13.33	-82.78	91.26	94.78	38.26	89.39	73.80
BRD-A31575449	CP	CGP-20712	adrenergic receptor antagonist	ADRB1, ADRB3		6.15, 3.08	73.11	0.88, 0.32	91.19	4.38	47.52	30.77	90.71	70.28	13.60	67.87	51.74	87.86	6.69	93.66	33.47	79.10	79.41	78.48	96.00	89.73	24.00	99.68	78.28	73.11	68.76	0.81	88.33	91.19	61.73	99.26	51.92
BRD-K91290917	CP	amodiaquine	histamine N-methyltransferase inhibitor	HNMT, CYP2C8		5.77, 2.31	73.06	1.06, 0.34	87.30	84.52	66.63	44.38	73.35	44.92	82.73	92.38	50.41	79.82	20.09	73.06	11.39	48.88	98.48	88.76	70.19	34.43	84.24	64.21	81.25	86.82	13.33	-80.50	95.76	51.00	36.34	89.06	95.90
BRD-A66563878	CP	medetomidine	adrenergic receptor agonist, MAP kinase inhibitor	ADRA2A, ADRA2B, ADRA2C, ADRA1A, ADRA1B, ADRA1D		6.94, 4.90	72.99	1.22, 0.45	79.54	83.70	97.55	17.07	56.64	99.93	15.04	-11.21	60.68	98.13	74.97	98.34	2.22	35.47	97.69	43.19	79.80	72.47	21.77	79.38	78.17	71.98	87.31	-99.22	-19.11	72.99	97.85	72.48	96.12
BRD-K25224017	CP	pirenperone	serotonin receptor antagonist	HTR2A, HTR7		4.62, 2.31	72.99	0.50, 0.07	72.99	87.30	63.46	40.78	95.19	2.62	14.73	85.67	18.01	28.20	82.71	87.80	6.49	33.56	86.52	6.15	94.61	27.78	76.65	85.03	42.10	52.25	92.48	53.95	82.78	83.67	90.83	87.67	20.31
BRD-A46393198	CP	tetramisole	alkaline phosphatase inhibitor			9.62, 5.77	72.86	1.20, 0.38	99.65	82.40	88.65	22.72	98.61	6.62	46.35	85.19	82.32	40.37	51.08	70.59	31.45	22.35	97.37	69.63	92.92	17.95	96.95	90.92	86.67	89.56	72.86	-79.92	42.60	32.90	60.19	98.73	75.60
BRD-K43068349	CP	AMG-9810	TRPV antagonist	TRPV1		7.69, 3.08	72.83	0.85, 0.15	81.52	85.76	72.39	72.83	99.51	35.43	8.46	24.14	74.15	99.37	95.06	97.25	30.07	1.90	89.94	99.30	97.46	3.03	31.32	91.25	78.34	79.92	-7.48	0.78	-8.89	59.42	78.27	66.67	7.58
BRD-K42500029	CP	CGP-57380	MAP kinase inhibitor, MAPK-interacting kinase inhibitor	AURKB, LCK, MKNK1, MKNK2, SGK1		8.85, 5.00	72.82	1.36, 0.49	35.79	85.85	72.14	97.34	98.11	68.27	73.23	26.29	83.60	94.17	70.81	92.49	87.68	87.19	60.94	99.44	81.17	50.06	10.92	64.23	61.89	74.72	73.77	-0.85	-3.25	69.74	21.30	72.82	81.57
BRD-A01643550	CP	prednisolone	glucocorticoid receptor agonist	NR3C1, NR3C2, SERPINA6	Glucocorticoid receptor agonist	5.38, 2.31	72.75	0.86, 0.39	84.63	78.81	33.58	84.99	99.51	61.94	-11.87	28.18	80.51	73.52	22.91	81.32	36.46	30.03	72.75	86.50	73.36	33.16	-13.19	97.09	82.06	77.11	87.28	3.08	-61.61	53.13	65.80	96.63	45.50
BRD-A96107863	CP	nisoldipine	calcium channel blocker, L-type calcium channel blocker	CACNA1C, CACNA1D, CACNA1S, CACNA2D1, CACNB2, CYP3A5	Calcium channel blocker	5.33, 3.56	72.52	1.45, 0.64	56.05	92.53	9.52	66.96	46.27	71.41	81.31	80.30	-24.59	95.92	99.05	95.51	77.38	83.37	70.45	98.80	72.52	76.22	43.60	21.75	80.23	84.14	-13.81	-84.71	-27.40	55.84	80.74	72.94	4.25
BRD-K15588452	CP	R-96544	serotonin receptor antagonist	HTR2A	Serotonin receptor antagonist	9.23, 5.38	72.50	1.30, 0.28	40.37	-28.98	17.18	73.69	87.46	26.14	-55.28	97.96	20.29	-3.98	-19.83	96.55	72.50	77.82	93.55	86.17	85.60	98.92	-33.30	99.08	62.46	28.27	41.87	32.52	93.74	15.68	77.63	88.18	87.73
BRD-A73909368	CP	dactinomycin	DNA directed RNA polymerase inhibitor, nucleic acid syntheis inhibitor, protein synthesis inhibitor	POLR2A		6.15, 3.08	72.41	2.35, 0.80	8.84	99.22	92.50	15.76	96.16	94.19	55.83	-61.81	83.27	84.28	88.47	94.09	0.00	1.52	99.37	95.00	72.41	27.61	32.48	78.23	95.58	55.01	27.37	-53.09	-0.63	0.00	74.92	49.21	84.06
BRD-K94441233	CP	mevastatin	HMGCR inhibitor	HMGCR	HMGCR inhibitor	6.92, 3.46	72.36	1.23, 0.18	24.87	77.21	47.52	94.25	95.81	15.48	22.37	83.67	25.13	6.67	30.30	72.36	78.26	89.76	87.94	5.19	76.02	93.06	-28.35	80.70	82.60	73.36	27.60	-98.32	92.08	3.70	11.43	66.86	94.04
BRD-A36074203	CP	remacemide	glutamate receptor antagonist, glutamate receptor agonist	GRIN1		6.54, 3.46	72.32	0.93, 0.22	72.32	84.48	83.14	22.06	82.32	57.58	10.60	44.51	66.10	99.44	99.03	94.69	2.78	8.96	85.38	85.57	80.62	41.49	73.33	46.07	95.70	77.35	52.36	-0.07	81.75	71.32	52.76	81.05	32.92
BRD-K84955386	CP	hyperoside	glucosidase inhibitor, free radical scavenger	ACE, AKR1B1, GAA		8.89, 8.00	72.23	2.08, 0.76	87.45	86.08	16.99	64.91	41.79	60.77	72.23	83.55	59.05	99.96	98.63	99.93	70.68	78.32	8.55	98.56	77.18	47.71	99.20	17.45	20.64	47.71	94.34	0.00	90.40	99.47	99.93	39.46	60.68
